Date,Location,Operator,Route,Type,Aboard,Fatalities,Ground
10/15/1920,"Batavia, Illinois",US Aerial Mail Service,,De Havilland DH-4,1,1,0
11-07-1920,"Tie Siding, Wyoming",US Aerial Mail Service,,De Havilland DH-4,1,1,0
12/14/1920,"Cricklewood, England",Handley Page Transport,,Handley Page HP-16,8,4,0
12/24/1920,"Barcelona, Spain",Aeropostale,,Breguet 14,1,1,0
02-03-1921,"Mendotta, Minnisota",US Aerial Mail Service,,De Havilland DH-4,1,1,0
02-09-1921,"La Crosse, Wisconsin",US Aerial Mail Service,,Junkers F-13,3,3,0
02/15/1921,Off Gibraltar,Aeropostale,,Breguet 14,2,2,0
02/22/1921,"Elko, Nevada",US Aerial Mail Service,,De Havilland DH-4,1,1,0
04-06-1921,"Point Cook, Australia",Military - Royal Australian Air Force,,,2,1,0
04/21/1921,"Mitchel Field, NY",US Aerial Mail Service,,De Havilland DH-4,1,1,0
04/29/1921,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0
05/17/1921,"Rock Springs, Wyoming",US Aerial Mail Service,,,1,1,0
07/16/1921,"San Francisco, California",US Aerial Mail Service,,De Havilland DH-4,1,1,0
08/14/1921,"Toulouse, France",Aeropostale,,Breguet 14,2,2,0
08/24/1921,"River Humber, England",Military - Royal Airship Works,,Royal Airship Works ZR-2 (airship),46,46,1
09-06-1921,"Paris, France",Franco-Roumaine,Varsovie - Strasbourg - Paris,Potez IX,5,5,0
12-05-1921,"Near Murchinson River, Australia",West Australian Airways,,Bristol 28 Tourer,3,3,0
01/14/1922,"Paris, France",Handley Page Transport,,Handley Page O/10,5,5,5
02/21/1922,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,Dirigible Roma (airship),45,34,0
04-07-1922,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,de Havilland DH-18 / Farman F-60 Goliath,7,7,0
04-08-1922,"Pao Ting Fou, China",,,,17,17,0
04/13/1922,"Brooklands, England",Vickers,,Vickers Viking,3,3,0
10-01-1925,"Nittany Mt, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0
06-03-1922,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,Bleriot Spad 27,3,3,0
07/26/1922,"Cadix, Spain",Grands Express Aeriens,,Breguet 14,3,3,0
09-07-1922,"Indianapolis, Indiana",US Aerial Mail Service,,De Havilland DH-4,1,1,0
10-02-1922,"Venice, Italy",,,de Havilland DH-9,4,4,0
10/25/1922,"Larache, Morocco",Grands Express Aeriens,,Breguet 14,2,2,0
12-03-1922,"Fez, Morocco",Grands Express Aeriens,,Breguet 14,1,1,0
01-10-1923,"Ajaccio, France",Amee de l'Air,,Lioré-et-Olivier H-13,4,3,0
01/17/1923,"Barcelona, Spain",Grands Express Aeriens,,Breguet 14,1,1,0
01/18/1923,"Cheyenne, Wyoming",US Aerial Mail Service,,De Havilland DH-4,1,1,0
02/26/1923,"Meadville, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,1,0
05/14/1923,"Monsures, France",Grands Express Aeriens,,Farman F-60 Goliath,6,6,0
08/27/1923,"Bucharest, Romania",Campagnie France Roumaine,,Blériot Spad 46,2,2,0
09-07-1923,"Colton, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0
09/14/1923,"Berks, England",Daimler Airways,,de Havilland DH-34,6,6,0
11/18/1923,Russia,CCCP,,Junkers F-13,4,2,0
12-06-1923,"Castalia, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0
12/23/1923,Over the Mediterranean Sea,Military - French Navy,Toulon - Algiers,Zeppelin Dixmunde (airship),52,52,0
12/24/1923,"Egbert, WY",US Aerial Mail Service,,De Havilland DH-4,1,1,0
03-07-1924,"Grampian, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,1,0
04/24/1924,Over the English Channel,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,3,3,0
06-08-1924,"Barranquilla, Colombia",SCADTA,,Junkers F-13,3,3,0
08-01-1924,United States,US Aerial Mail Service,,De Havilland DH-4,1,1,0
11-06-1924,"Cabrerolles, France",Grands Express Aeriens,,,1,1,0
12/21/1924,"Goshen, Indiana",US Aerial Mail Service,,De Havilland DH-4,1,1,0
12/24/1924,"Purley, England",Imperial Airways,,de Havilland DH-34B,8,8,0
03/22/1925,"Near Tiflies, Georgia, USSR",Zakavia,,Junkers F-13,5,5,0
04/25/1925,"Alicante, Spain",Grands Express Aeriens,,Breguet 14,4,4,0
05/25/1925,"Alicante, Spain",Lignes Aeriennes Latecoere,,Breguet 14,2,2,0
06/25/1925,"Landrécies, France",KLM Royal Dutch Airlines,,Fokker (KLM)  F.III,4,4,0
06/26/1925,"Alicante, Spain",Grands Express Aeriens,,Lioré-et-Olivier H-13,2,2,0
07/20/1925,"Rosas, Spain",Lignes Aeriennes Latecoere,,Breguet 14,1,1,0
07/24/1925,"Budapest, Hungary",CIDNA,,Potez IX,1,1,0
09-03-1925,"Caldwell, Ohio",Military - U.S. Navy,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),43,14,0
09-07-1925,"Toul, France",CIDNA,,,3,3,0
11/14/1925,"Off Boulogne-sur-Mer, France",Air Union,,Farman F-60 Goliath,2,2,0
02-12-1926,"Montpelier, Ohio",US Aerial Mail Service,,Curtiss Carrier Pigeon,1,1,0
03-08-1926,"Staaken, Germany",Deutche Lufthansa,,Junkers F-13,1,1,0
05/31/1926,English Channel,Air Union,,Breguet 14,1,1,0
07-03-1926,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Paris - Prague,Caudron C-61,7,7,0
07-09-1926,"Wolvertem, Belgium",KLM Royal Dutch Airlines,,Fokker F-4,2,2,0
07/24/1926,"Juist, Germany",Deutsche Lufthansa,,Junkers F-13,4,4,0
08/18/1926,"Hurst, Kent, England",Air Union,,Bleriot 155,4,4,0
09/26/1926,"New York, New York",,New York - Paris,Sikorsky S-25,5,2,0
10-08-1926,"Bueren, Germany",Deutsche Lufthansa,,Fokker FG III,4,4,0
10/21/1926,English Channel,Imperial Airways,,Handley Page W-10,12,0,0
11-11-1926,"Cape Bojador, Morocco",Grands Express Aeriens,,Breguet 14,3,3,0
12/16/1926,"Medford, Oregon",PacifiAir Transport,,Ryan M-1,1,1,0
01-12-1927,"Lille, France",KLM Royal Dutch Airlines,,Fokker F-VII,2,2,0
03/20/1927,"Rabat, Morocco",Grands Express Aeriens,,Breguet 14,1,1,0
03/24/1927,"Tambo, Qld, Australia",Qantas,,de Havilland DH-9C,3,3,0
04/15/1927,"King Hill, Idaho",Varney Air Lines,,,1,1,0
04/22/1927,"Goshen, Indiana",US Aerial Mail Service,,Douglas M-4,1,1,0
04/22/1927,"Floh, Germany",Deutsche Lufthansa,,Fokker FG III,2,2,0
05-02-1927,"Algiers, Algeria",Air Union,,SPCA Meteore 63,3,1,0
07/27/1927,"Amoneburg, Germany",Deutsche Lufthansa,,Junkers F-13,5,5,0
08/22/1927,"Sevenoaks, England",KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,11,1,0
09-03-1927,"Willington, Connecticut",Colonial Air Transport,,Fokker Universal,1,1,0
09/17/1927,"Hadley, New Jersey",Reynolds Airways,Sightseeing,Fokker F-VII,12,7,0
09/22/1927,"Saale, Germany",Deutsche Lufthansa,,BFW M-18,4,2,0
09/23/1927,"Schleiz, Germany",Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,6,6,0
10-06-1927,"Thies, Mauritania",Lignes Aeriennes Latecoere,,Breguet 14,2,2,0
10/30/1927,"New Brunswick, New Jersey",Colonial Air Transport,,Fairchild FC-2,4,4,0
11/16/1927,"Strasburg, France",CIDNA,,Farman F-121 Jabiru,1,1,0
11/16/1927,Over the Gulf of Finland,Aero O-Y,,Junkers F-13,6,6,0
11/29/1927,"Corunna, Indiana",National Air Transport,,Douglas M-4,1,1,0
12/26/1927,"Almeria, Spain",Aeropostale,,Breguet 14,2,2,0
12/28/1927,"Abuerio, Spain",Aeropostale,,Breguet 14,1,1,0
12/31/1927,France,Latecoere Airlines,,Latécoère 23,4,4,0
01-08-1928,"Near Canajoharie, New York",Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,3,3,0
01/16/1928,"Solis, Uruguay",Aeropostale,,Latecoere 25,2,2,0
01/22/1928,"Tarragona, Spain",Aeropostale,,Breguet 14,2,2,0
01/22/1928,France,Aeropostale,,Breguet 14,2,1,0
01/27/1928,"Almeria, Spain",Aeropostale,,Breguet 14,1,1,0
02/26/1928,"Marquette, Nebraska",Boeing Air Transport,,Boeing 40,2,1,0
03-03-1928,"Rio de Janeiro, Brazil",,,,10,10,0
03-11-1928,"Off Cape Griz Nez, France",Air Union,,Farman F-60 Goliath,2,2,0
04/17/1928,"Federal, Wyoming",Boeing Air Transport,,Boeing 40,2,1,0
04/19/1928,"Minuesa, Spain",Iberia Airlines,,Rohrbach Roland,9,9,0
05-07-1928,,Aeropostale,,Latecoere 26,1,1,0
05-12-1928,"Dearborn, Minnesota",Ford Air Freight Inc.,,Ford 4,2,2,0
05/26/1928,"Radevormwald, Germany",Deutsche Lufthansa,,Junkers F-13,5,3,0
06/14/1928,"Frankfurt, Germany",Deutsche Lufthansa,,AEGK,5,5,0
06/22/1928,"Lebo, Kansas",National Air Transport,Chicago - Dallas,Douglas M-4,1,1,0
07-10-1928,Over the Gulf of Finland,Aero O-Y,,Junkers F-13,6,6,0
07/13/1928,"Purley, England",Imperial Airways,Testing,Vickers 74 Vulcan,4,4,0
07/24/1928,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,,Fokker (KLM) F.III,1,1,0
08/25/1928,"Near Port Townsend, BC, Canada",British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,7,7,0
09-02-1928,"Toul, France",CIDNA,,Bleriot Spad 56,3,3,0
09-04-1928,"Adelaide Hills, Australia",Qantas,,de Havilland DH.50J,2,1,0
09-04-1928,"Pocatello, Idaho",National Parks Airways,,Fokker Super Universal,7,7,0
09-06-1928,"Heroldbach, Germany",Deutsche Lufthansa,,Fokker FG III,3,3,0
10-04-1928,"Gerona, Spain",Aeropostale,,Breguet 14,3,3,0
10/18/1928,"Polk, Pennsylvania",National Air Transport,,Douglas M-4,1,1,0
10/31/1928,"Valence, France",Air Union,,Bleriot Spad 56,2,1,0
11/15/1928,Off Gibraltar,Aeropostale,,Latecoere 32,2,1,0
11/24/1928,"Edgerton, Ohio",Universal Airlines,Cleveland - Chicago,Hamilton H-47,3,3,0
11/25/1928,"Bristolville, Ohio",National Air Transport,,Douglas M-4,1,1,0
11/25/1928,"Edgerton, Ohio",Continental Air Lines,Cleveland - Louisville,Travel Air 4000,3,3,0
12-01-1928,"Spur, Texas",Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,5,5,0
12-03-1928,Brazil,Syndicato Condor,,Dornier Wal,14,14,0
12-04-1928,"Rio de Janeiro, Brazil",,,Junkers G24,6,6,0
12-11-1928,"Letzlingen, Germany",Deutsche Lufthansa,,Junkers G-31,4,3,0
12/20/1928,"Huron, Ohio",National Air Transport,Cleveland - Chicago,Douglas M-4,1,1,0
12/23/1928,"Chattanooga, Tennessee",Interstate Airlines,,Fairchild FC-2,4,4,0
12/31/1928,"Reims, France",CIDNA,,Blériot Spad 66,3,2,0
01-05-1929,"Stafford Springs, Connecticut",Colonial Air Transport,,Fairchild FC-2,1,1,0
01/18/1929,"Cove, Oregon",Varney Air Lines,,Stearman C-38,1,1,0
01/25/1929,"Near Corfu, Greece",Aeroespresso,,CMASA Wal,9,2,0
01/31/1929,"Morgantown, West Virginia",Skyline Transportation Company,,Travel Air 4000,1,1,0
01/31/1929,Off Morocco,Aeropostale,,Latecoere 26,2,2,0
03/17/1929,"Newark, New Jersey",Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,15,14,0
03/30/1929,"Near Beaumont, California",New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,4,4,0
04/21/1929,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,6,6,0
05/18/1929,Hungary,MALERT,,Fokker F-III,2,2,0
05/22/1929,Algiers,Aeropostale,,Cams 53,5,4,0
06-10-1929,"Santiago de Cuba, Cuba",Pan American Airways,Santiago de Cuba - Havana,Fokker F-X,5,2,0
06/14/1929,"Barcelona, Spain",Aeropostale,,Breguet 14,2,1,0
06/17/1929,"Off Dungeness, England",Imperial Airways,,Handley Page W-10,13,7,0
06/24/1929,"St. Paul, Minnesota",Northwest Orient Airlines,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,8,1,0
06/29/1929,"Lake Constance, Switzerland",Aero Lloyd,,Domier Delphin III,5,5,0
06/29/1929,"Columbus, Ohio",Continental Air Lines,,Travel Air 4000,1,1,0
08-11-1929,"Clovis, New Mexico",Middle States Airlines,,Lockheed Vega,4,4,0
08/13/1929,"Perpignan, France",Aeropostale,,Breguet 14,1,1,0
08/24/1929,"Sochi, Russia",Ukvozduchput,,Kalinin K-4,1,1,0
08/24/1929,"Elm, Germany",Deutsche Lufthansa,,Fokker FG II,5,4,0
09-02-1929,"Needles, California",Associated Aviators,,Lockheed Vega,2,1,0
09-03-1929,"Mt. Taylor, New Mexico",Trans Continental Air Transport,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,8,8,0
09-06-1929,"Jask, Iran",Imperial Airways,"London, England - India",de Havilland DH-66 Hercules,5,3,0
09/17/1929,"Off Larache, Morocco",Aeropostale,,Latecoere 25-3-R,5,5,0
09/17/1929,"Jacumba, California",Pickwick Airways,Tijuana - Nogales,Fairchild 71,2,1,0
09/17/1929,"Mt Lamentation, Connecticut",Colonial Air Transport,,Pitcairn PA-6 Mailwing,1,1,0
10/26/1929,"Off Spezia, Italy",Imperial Airways,,Short Calcutta,7,7,0
10/29/1929,"Mount Vernon, Ohio",Continental Air Lines,Cleveland - Louisville,Stearman C-38,1,1,0
10/31/1929,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Bremerton,Loening C-2C,2,2,0
11-04-1929,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Mexico City - Juarez,Lockheed Vega 5,4,4,0
11-06-1929,"Near Godstone, Surrey, England",Deutsche Lufthansa,Amsterdam - Croyden,Junkers G-24,8,7,0
11/15/1929,"Off Corsica, France",Air Union,,Liore et Olivier 190,3,3,0
11/30/1929,"Vancouver, Washington",Varney Air Lines,,Stearman M-2 Speedmail,1,1,0
12-02-1929,"Chagrin Falls, Ohio",National Air Transport,,Douglas M-3,1,1,0
12/14/1929,Mediterranean Sea,Aeropostale,,Bernard 192,3,3,0
12/19/1929,"Near Berlin, Germany",Deutsche Lufthansa,,Arado V1,3,2,0
12/30/1929,"Amarillo, Texas",Trans Continental Air Transport,,Travel Air B6000,5,5,0
01-10-1930,"Brawnson, Nebraska",Boeing Air Transport,,Boeing 95,1,1,0
01/13/1930,"Antananarivo, Madagascar",Air Orient,,Farman 190,3,3,0
01/19/1930,"Oceanside, California",Maddux Airlines,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,16,16,0
01/25/1930,"Off Ceuta, Spain",Aeropostale,,Latecoere 25,2,2,0
01/27/1930,"Kansas City, Kansas",Central  Airlines,"Wichita - Kansas City, KS",Travel Air A6000A,5,5,0
02-03-1930,"Hartford, Connecticut",Colonial Air Transport,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,1,1,0
02-10-1930,"Marden, England",Air Union,,Farman F-63,2,2,0
04/18/1930,"Jersey City, New Jersey",Canadian Colonial Airways,"Albany, NY - Jersey City, NJ",Fairchild 71,4,4,0
05-10-1930,Buenos Aires,Aeropostale,,Latecoere 28,4,3,0
06-05-1930,"Boston, Massachusetts",Colonial Air Transport,,Ford Tri-Motor 5,15,1,0
07-07-1930,"Bornholm, Denmark",Deutsche Lufthansa,Stettin - Norway,Dornier Wal,8,5,0
07-10-1930,"Arkansas Pass, Texas",Cross Airways,,Lockheed Vega 5,5,5,0
08/22/1930,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Prague - Brun -  Pressburg,Ford 5-AT-C Tri Motor,11,10,0
09-11-1930,"Croydon, England",Sabena,,Sabca F-VII,2,2,0
09/25/1930,"Southesk, Saskatchewan, Canada",Western Canada Airways,Calgary - Moosejaw,,3,3,0
10-05-1930,"Near Beauvais, France",Military - British Air Ministry,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,54,48,0
10-06-1930,"Dresden, Germany",Deutsche Lufthansa,Berlin - Vienna,Messerschmitt M-20B,8,8,0
10-12-1930,"La Rache, Morocco",Aeropostale,Casablanca - Bahat - Toulouse,Latecoere 28,4,4,0
10/28/1930,"Prince Rupert, BC, Canada",Alaska-Washington Airways,,Lockheed Vega,3,3,0
10/30/1930,"Near Neufchatel, France",Imperial Airways,"Paris, France - London, England",Handley Page W-8,6,3,0
10/30/1930,"Brookston, Indiana",Embry Riddle Company,,Pitcairn PA-6 Mailwing,1,1,0
11-07-1930,"Off of Santos, Brazil",Syndicato Condor,,Junkers G-24,9,1,0
11/18/1930,"Techachapi Mountains, California",PacifiAir Transport,"Burbank, CA - Oakland, CA",Boeing 40,3,3,
12-09-1930,"Shanghai, China",China National Aviation Corporation,Shanghai - Hankow,Loening C-W Air Yaht,6,4,0
01-08-1931,"Melle, Belgium",Sabena,,Fokker F-VII,2,2,0
01/22/1931,"Bluff Mountain, Washington",Varney Air Lines,Portland - Pasco,Boeing 40,1,1,0
02-08-1931,"Wairoa, New Zealand",Dominion Air Lines,,Desoutter II,1,1,0
02/20/1931,"Bagot, Manitoba, Canada",Western Canada Airways,Winnigeg - Moosejaw,Fokker Universal F-14,3,2,0
02/24/1931,Off Spain,Aeropostale,,Latecoere 32,3,1,0
03/21/1931,"New South Wales, Australia",Australian National Airways,,Avro 10,8,8,0
03/31/1931,"Bazaar, Kansas",Trans Continental and Western Air,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,8,8,0
04/14/1931,"Near Letschen, Germany",Deutsche Lufthansa,,Messerschmitt M-20,10,2,0
05-05-1931,"Burbank, California",PacifiAir Transport,San Diego - Los Angeles,Boeing 40,2,2,0
05/22/1931,"Wampit, Australia",Guiena Airways,,Junkers W-34,1,1,0
05/24/1931,"Bellefonte, Pennsylvania",National Air Transport,,Boeing 95,1,1,0
06-07-1931,"Near Sandoway, Burma",Air Orient,Saigon - Karachi,Fokker F-VIIB,4,4,0
06-11-1931,"Walbridge, Ohio",Rubner Flying Service,,Lockheed Vega 2,3,2,0
06/13/1931,"Saarbrucken, Germany",Deutsche Lufthansa,Cologne - Saarbrucken,Dornier Merkur,4,4,0
07-12-1931,"Chicago, Illinois",Braniff Airlines,Chicago - Detroit,Lockheed Vega,2,2,0
07/14/1931,"Temora, Australia",Australian Aerial Services,,Lasco Lascowl,2,2,0
07/21/1931,"Centralia, Illinois",American Airways,,Pitcairn PA-6 Mailwing,1,1,0
07/24/1931,"Kurudjevo, Bulgaria",CIDNA,Constantinople - Budapest,Fokker F-VII,7,7,0
08-09-1931,"Cincinnati, Ohio",American Airways,,Ford 5-AT-C Tri Motor,6,6,0
09/14/1931,"Chicago, Illinois",Chicago-Detroit Airways,,Lockheed Vega,1,1,0
09/16/1931,"Oakland, California",PacifiAir Transport,"Oakland, CA - Seattle, WA",Boeing 40,4,4,0
10-06-1931,"Novia Scotia, Canada",Deutsche Lufthansa,,Heinkel HE-2,3,3,0
10/14/1931,Brazil,Syndicato Condor,,Dornier Wal,3,3,0
11-05-1931,"Camden, New Jersey","NY, Phil., Washington AW","Newark, NJ  - Camden, NJ - Washington DC",Lockheed Orion 9,5,5,0
11/13/1931,"Sir Lowry's pass, South Africa",Union Airways,,De Havilland DH.80,3,3,0
11/23/1931,"Salt Lake City, Utah",Boeing Air Transport,,Boeing 40,1,1,0
11/24/1931,"Near Tsinan, China",China National Aviation Corporation,Nanking - Peiking,Stinson,3,3,0
11/26/1931,"Pasco, Washington",Varney Air Lines,"Portland,  WA - Pasco, WA",Boeing 40,1,1,0
12-05-1931,"Kewanee, Illinois",Braniff Airways,Kansas City - Chicago,Lockheed Vega 5,6,2,0
12-06-1931,"Bangkok, Thailand",KLM Royal Dutch Airlines,,Fokker F-VIIb-3M,7,5,0
12-09-1931,Off Algiers,Aeropostale,,CAMS 56,2,2,0
12/31/1931,"Springfield, Ohio",American Airways,"Port Colombus, OH - Louisville, KY",Fairchild Pilgrim 100A,5,4,0
01/21/1932,"Colvin Park, Ilinois",Northwest Airways,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,1,1,0
01/29/1932,"Lebec, California",Century PacifiLines,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,8,8,0
02-01-1932,"Off Miami, Florida",Bimini Airways,Miami - Bimini,Fairchild,5,5,0
02-02-1932,"Marcellus, Michigan",Transamerican Airlines,Chicago - Kalamazoo,Stearman C-3MB,1,1,0
02-02-1932,"Rio Vista, California",Boeing Air Transport,,Boeing 40,2,1,0
02/27/1932,"Off Setiba, Brazil",Aeropostale,,Latecoere 28,3,3,0
03-08-1932,"Saint Louis, Illinois",Century Air Lines,Training,Stinson SM-6000B,5,2,0
03/19/1932,"Calimesa, California",American Airways,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,7,7,0
03/21/1932,"Steubenville, Ohio",Trans Continental and Western Air,Columbus - McKeesport,Northrop Alpha,1,1,0
03/29/1932,Syria,Air Orient,,Farman F-190,3,3,0
03/31/1932,"Bedford, Ohio",National Air Transport,,Boeing 95,1,1,0
04/21/1932,"Fort Wayne, Indiana",Transamerica Airlines,,Stearman C-3MB,1,1,0
05-03-1932,"Portland, Oregon",Varney Air Lines,,Boeing 40,2,2,0
05/16/1932,"Burbank, California",PacifiAir Transport,San Diego - Burbank - Oakland,Boeing 40,3,3,0
07/16/1932,"Mount El Plomo, near Vitacura, Chile",Panagra,"Santiago, Chile - Mendosa, Argentina",Ford 5-AT-C Tri Motor,9,9,0
08-12-1932,"Beyrouth, Lebanon",Air Orient,,CAMS 53,7,1,0
08/30/1932,"Tubergen, Germany",A B Aerotransport,,Junkers G-23,2,2,0
09-08-1932,"Salt Flats, Texas",American Airways,El Paso - Dallas,Fokker F-10,4,3,0
09/17/1932,"Selsdon Park, England",Air Union,,Liore-et-Olivier 213,2,1,0
09/18/1932,"Byron Bay, Australia",New England Airways,,De Havilland DH-80,3,3,0
10-12-1932,"Port Etienne, Mauritania",Aeropostale,,Latecoere 28,1,1,0
10/26/1932,"Villa Monte, Bolivia",Lloyd Aero Boliviano,,Ford Tri-motor 5,2,2,0
10/29/1932,"Ramsgate, England",Deutsche Lufthansa,,Junkers W-33,2,2,0
11-02-1932,"Echterpfuhl, Germany",Deutsche Lufthansa,Nuremberg - Frankfort,Junkers F-13,5,5,0
11/25/1932,"Marianna, Arkansas",Hunter Airways,"Little Rock, AR - Memphis, TN",Travel Air 6000,2,2,0
12/14/1932,"Amarillo, Texas",Trans Continental and Western Air,,Ford 5,2,2,0
12/14/1932,"Rocky Ridge, Colorado",Boeing Air Transport,,Boeing 40,1,1,0
12/26/1932,"Wau, Australia",Guinea Airways,,De Havilland DH-60,2,2,0
01-10-1933,Algiers,Aeropostale,,CAMS 53,1,1,0
01/14/1933,"Newark, New Jersey",Eastern Air Transport,Test flight,Curtiss Condor 18,2,2,0
01/20/1933,"Marietta, Georgia",American Airways,,Stearman 4,1,1,0
01/20/1933,"Bourne, Texas",American Airways,Big Springs - San Antonio,Stearman 4,1,1,0
01/24/1933,"Eugene, Oregon",PacifiAir Transport,,Ford 5-AT-D,3,1,0
